Time Step,Time,Total Discharge
0,2015-12-01 00:00:00,0.000694
1,2015-12-01 01:00:00,0.000410
2,2015-12-01 02:00:00,0.000169
3,2015-12-01 03:00:00,0.000064
4,2015-12-01 04:00:00,0.000024
5,2015-12-01 05:00:00,0.000009
6,2015-12-01 06:00:00,0.000004
7,2015-12-01 07:00:00,0.000002
8,2015-12-01 08:00:00,0.000001
9,2015-12-01 09:00:00,0.000001
10,2015-12-01 10:00:00,0.000001
11,2015-12-01 11:00:00,0.000001
12,2015-12-01 12:00:00,0.000001
13,2015-12-01 13:00:00,0.000001
14,2015-12-01 14:00:00,0.000000
15,2015-12-01 15:00:00,0.000000
16,2015-12-01 16:00:00,0.000000
17,2015-12-01 17:00:00,0.000000
18,2015-12-01 18:00:00,0.000000
19,2015-12-01 19:00:00,0.000000
20,2015-12-01 20:00:00,0.000000
21,2015-12-01 21:00:00,0.000000
22,2015-12-01 22:00:00,0.000000
23,2015-12-01 23:00:00,0.000000
24,2015-12-02 00:00:00,0.000000
25,2015-12-02 01:00:00,0.000000
26,2015-12-02 02:00:00,0.000000
27,2015-12-02 03:00:00,0.000000
28,2015-12-02 04:00:00,0.000000
29,2015-12-02 05:00:00,0.000000
30,2015-12-02 06:00:00,0.000000
31,2015-12-02 07:00:00,0.000000
32,2015-12-02 08:00:00,0.000000
33,2015-12-02 09:00:00,0.000000
34,2015-12-02 10:00:00,0.000000
35,2015-12-02 11:00:00,0.000000
36,2015-12-02 12:00:00,0.000000
37,2015-12-02 13:00:00,0.000000
38,2015-12-02 14:00:00,0.000000
39,2015-12-02 15:00:00,0.000000
40,2015-12-02 16:00:00,0.000000
41,2015-12-02 17:00:00,0.000000
42,2015-12-02 18:00:00,0.000000
43,2015-12-02 19:00:00,0.000000
44,2015-12-02 20:00:00,0.000000
45,2015-12-02 21:00:00,0.000000
46,2015-12-02 22:00:00,0.000000
47,2015-12-02 23:00:00,0.000000
48,2015-12-03 00:00:00,0.000000
49,2015-12-03 01:00:00,0.000000
50,2015-12-03 02:00:00,0.000000
51,2015-12-03 03:00:00,0.000000
52,2015-12-03 04:00:00,0.000000
53,2015-12-03 05:00:00,0.000000
54,2015-12-03 06:00:00,0.000000
55,2015-12-03 07:00:00,0.000000
56,2015-12-03 08:00:00,0.000000
